"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_t_min","calidad_t_max","periodo"
972,"05410006-K","VILCUYA",-32.86027778,-70.47166667,1078,5,"Valparaíso",53,"Los Andes",5301,"Los Andes",54,"Rio Aconcagua",541,"Aconcagua Medio",5410,"Rio Aconcagua entre Rio Colorado y Rio Putaendo",1,"C",97.4596655910824,97.4361982986213,"1990-2024"
1074,"05427006-2","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,255,5,"Valparaíso",58,"Marga Marga",5802,"Limache",54,"Rio Aconcagua",542,"Aconcagua Bajo",5427,"Estero Limache",1,"C",96.5287963234575,97.2719272513934,"1990-2024"
1048,"05426004-0","QUILLOTA",-32.89611111,-71.20638889,142,5,"Valparaíso",55,"Quillota",5501,"Quillota",54,"Rio Aconcagua",542,"Aconcagua Bajo",5426,"Rio Aconcagua Entre Quebrada El Ajo y Estero Limache",1,"C",96.3645252762296,96.7321795247873,"1990-2024"
4134,"340044","San_benito_de_chimbarongo_DMC",-34.72083,-71.01972,324,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6303,"Chimbarongo",60,"Rio Rapel",603,"Tinguiririca Bajo",6033,"Estero Chimbarongo Entre Estero Pichihuinco y Embalse Convento Viejo",2,"C",94.9721325902024,95.3006746846583,"1990-2024"
920,"05200006-8","ALICAHUE",-32.34083333,-70.75166667,759,5,"Valparaíso",54,"Petorca",5402,"Cabildo",52,"Rio Ligua",520,"Rio Ligua Alto (Estero Alicahue)",5200,"Estero Alicahue",1,"C",93.947394152733,94.0021511684756,"1990-2024"
1390,"05740005-6","MELIPILLA",-33.68027778,-71.2,176,13,"Metropolitana de Santiago",135,"Melipilla",13501,"Melipilla",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5740,"Rio Maipo Entre Rio Mapocho y Estero Puangue",1,"C",94.2837586780092,93.9317492910922,"1990-2024"
3972,"330054","Central_los_morros_DMC",-33.64778,-70.65667,602,13,"Metropolitana de Santiago",134,"Maipo",13401,"San Bernardo",57,"Rio Maipo",571,"Rio Maipo Medio",5712,"Rio Maipo Entre Rio Clarillo y Estero Angostura",2,"C",91.2721228121639,91.358169551188,"1990-2024"
1236,"05716005-5","LAGUNA ACULEO",-33.88583333,-70.8775,379,13,"Metropolitana de Santiago",134,"Maipo",13404,"Paine",57,"Rio Maipo",571,"Rio Maipo Medio",5716,"Estero Angostura Entre Estero Paine (II) y Rio Maipo",1,"C",89.6607020631661,89.637234770705,"1990-2024"
1630,"06034003-K","CONVENTO VIEJO",-34.76944444,-71.13305556,253,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6302,"Chépica",60,"Rio Rapel",603,"Tinguiririca Bajo",6034,"Estero Chimbarongo Entre Arriba Embalse Convento Viejo y Rio Tinguiririca",1,"C",86.8993839835729,88.2526645154982,"1990-2024"
3999,"330088","Olmue_DMC",-33.02194,-71.18639,153,5,"Valparaíso",58,"Marga Marga",5803,"Olmué",54,"Rio Aconcagua",542,"Aconcagua Bajo",5427,"Estero Limache",2,"C",84.849907108634,85.4052996968808,"1990-2024"
4137,"340048","Quimavida_DMC",-34.215,-70.99694,321,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6104,"Coltauco",60,"Rio Rapel",601,"Cachapoal Bajo",6012,"Rio Cachapoal Entre Estero Las Cadenas y Rio Claro (de Rengo)",2,"C",82.8708321110785,83.0272807274861,"1990-2024"
3988,"330071","Talagante_DMC",-33.67028,-70.84944,401,13,"Metropolitana de Santiago",136,"Talagante",13601,"Talagante",57,"Rio Maipo",571,"Rio Maipo Medio",5717,"Rio Maipo Entre Estero Angostura y Rio Mapocho",2,"C",79.17082233304,79.1942896255011,"1990-2024"
3838,"320012","La_ligua_esval_DMC",-32.44805,-71.23,57,5,"Valparaíso",54,"Petorca",5401,"La Ligua",52,"Rio Ligua",522,"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)",5221,"Rio Ligua Entre Estero La Patagua y Desembocadura",2,"C",54.0921091229099,79.1864671946807,"1990-2024"
4124,"340032","Graneros_mostazal_DMC",-34.06583,-70.74167,477,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6106,"Graneros",60,"Rio Rapel",601,"Cachapoal Bajo",6011,"Estero Las Cadenas",2,"C",73.264887063655,73.3039992177569,"1990-2024"
1075,"05427007-0","LOS AROMOS",-32.95777778,-71.345,109,5,"Valparaíso",58,"Marga Marga",5802,"Limache",54,"Rio Aconcagua",542,"Aconcagua Bajo",5427,"Estero Limache",1,"C",58.9029040774421,73.0849711547863,"1990-2024"
4141,"340053","San_fernando_liceo_agricola_el_carmen_fdf_DMC",-34.59139,-70.97055,355,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6301,"San Fernando",60,"Rio Rapel",601,"Cachapoal Bajo",6016,"Estero Zamorano hasta Estero Rigolemu",2,"C",72.7329617678694,72.7173169062286,"1990-2024"
3850,"320024","Curimon_escuela_agricola_DMC",-32.78444,-70.68778,708,5,"Valparaíso",57,"San Felipe de Aconcagua",5701,"San Felipe",54,"Rio Aconcagua",541,"Aconcagua Medio",5410,"Rio Aconcagua entre Rio Colorado y Rio Putaendo",2,"C",67.9691013982595,72.2323261953652,"1990-2024"
3854,"320028","La_cruz_inia_DMC",-32.82805,-71.22667,177,5,"Valparaíso",55,"Quillota",5504,"La Cruz",54,"Rio Aconcagua",542,"Aconcagua Bajo",5425,"Rio Aconcagua Entre Estero El Cobre y Bajo Quebrada El Ajo",2,"C",71.1997653270754,71.1450083113327,"1990-2024"
3870,"320045","Llay_llay_las_pennas_DMC",-32.88139,-70.91305,429,5,"Valparaíso",57,"San Felipe de Aconcagua",5703,"Llaillay",54,"Rio Aconcagua",542,"Aconcagua Bajo",5422,"Estero Los Loros",2,"C",70.3705876601154,70.5348587073433,"1990-2024"
