"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","8",-3.24493882091213,0.0572333859641332
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","9",-1.08676307007786,1
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","10",-0.467408231368187,0.683015863493145
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","11",0.608231368186874,0.395372727156355
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","12",-7.53114571746386,0.0144695946782064
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","Anual",-26.2828698553949,0.580153851530858
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","1",-21.6718576195773,0.180801811953682
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","2",-10.8032258064516,1
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","3",-20.5812013348165,0.0773047540721794
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","4",-2.97552836484983,0.352668379784187
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","5",-0.271857619577308,0.447087313014211
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","6",-0.747274749721913,0.0696504719948631
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","7",-0.533926585094549,0.406527058475679
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","8",-0.989655172413799,0.693529437614235
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","9",0.0293659621802003,0.0658435205503609
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","10",-0.638709677419355,0.56532814515888
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","11",-1.54260289210234,0.947094325605671
