"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"123","COLORADO",-35.64083333,-71.26055556,"X07378003.9","MaxTmax","�C_decada","Invierno",-2.19977753058954,0.000206075422288018
"124","COLORADO",-35.64083333,-71.26055556,"X07378003.9","MaxTmax","�C_decada","Primavera",-0.722068965517236,0.0479408139035116
"125","COLORADO",-35.64083333,-71.26055556,"X07378003.9","MaxTmax","�C_decada","Verano",-0.266502463054185,0.664707815503064
"126","PENCAHUE",-35.37638889,-71.83583333,"X07381003.5","MaxTmax","�C_decada","Anual",-0.092102335928809,0.85814736838682
"127","PENCAHUE",-35.37638889,-71.83583333,"X07381003.5","MaxTmax","�C_decada","Otono",-0.465850945494993,0.168587330811671
"128","PENCAHUE",-35.37638889,-71.83583333,"X07381003.5","MaxTmax","�C_decada","Invierno",0.0526696329254721,0.84411107108096
"129","PENCAHUE",-35.37638889,-71.83583333,"X07381003.5","MaxTmax","�C_decada","Primavera",-0.169076751946604,0.457603302484899
"130","PENCAHUE",-35.37638889,-71.83583333,"X07381003.5","MaxTmax","�C_decada","Verano",0.177832512315268,0.763769386464278
"131","CARACOL",-36.65083333,-71.395,"X08105004.K","MaxTmax","�C_decada","Anual",-2.3265850945495,0.00306632727676317
"132","CARACOL",-36.65083333,-71.395,"X08105004.K","MaxTmax","�C_decada","Otono",-1.08832035595106,0.0797684825442214
"133","CARACOL",-36.65083333,-71.395,"X08105004.K","MaxTmax","�C_decada","Invierno",-2.63759733036708,0.00116456772257739
"134","CARACOL",-36.65083333,-71.395,"X08105004.K","MaxTmax","�C_decada","Primavera",-1.9523915461624,0.00457690500171062
"135","CARACOL",-36.65083333,-71.395,"X08105004.K","MaxTmax","�C_decada","Verano",-2.20492610837438,0.00536361257515819
"136","COIHUECO EMBALSE",-36.64083333,-71.79916667,"X08113001.9","MaxTmax","�C_decada","Anual",-1.97730812013349,0.0522214799901107
"137","COIHUECO EMBALSE",-36.64083333,-71.79916667,"X08113001.9","MaxTmax","�C_decada","Otono",-1.73726362625139,0.00685958857261336
"138","COIHUECO EMBALSE",-36.64083333,-71.79916667,"X08113001.9","MaxTmax","�C_decada","Invierno",-2.75572858731925,0.000675999261774521
"139","COIHUECO EMBALSE",-36.64083333,-71.79916667,"X08113001.9","MaxTmax","�C_decada","Primavera",-1.09877641824248,0.0374763259000189
"140","COIHUECO EMBALSE",-36.64083333,-71.79916667,"X08113001.9","MaxTmax","�C_decada","Verano",-1.81083743842364,0.112859545592398
"141","DIGUILLIN",-36.87055556,-71.6425,"X08130006.2","MaxTmax","�C_decada","Anual",0.257397107897664,0.389113499480351
"142","DIGUILLIN",-36.87055556,-71.6425,"X08130006.2","MaxTmax","�C_decada","Otono",0.068520578420465,0.543391672420226
"143","DIGUILLIN",-36.87055556,-71.6425,"X08130006.2","MaxTmax","�C_decada","Invierno",-0.772969966629586,0.325720736851482
